Player,Pos,G,MP,FGA,3PA,3P%
Jason Williams,PG,72,29.4,9.9,5.1,0.33
Brent Barry,SG,59,30.6,7.2,4.3,0.452
Darrell Armstrong,PG,79,28.4,9.3,5.4,0.315
Speedy Claxton,PG,60,26.6,8.7,0.4,0.182
P.J. Brown,PF,80,34.4,8.9,0,0
Tyronn Lue,PG,76,30.7,9.4,2.8,0.383
Brian Skinner,C,56,28.2,9.2,0,
Mark Blount,C,82,29.3,7.4,0,
Tayshaun Prince,SF,82,32.9,8.8,1.9,0.363
Eric Snow,PG,82,36.2,8.7,0.2,0.111
Rafer Alston,PG,82,31.5,9.3,5.3,0.371
Earl Boykins,SG,82,22.5,9.3,2.1,0.322
Chris Crawford,PF,56,21.6,8.4,2,0.389
Wally Szczerbiak,SF,28,22.2,8.4,1.6,0.435
Doug Christie,SG,82,33.9,8.4,1.7,0.345
Eric Williams,SF,71,26.6,8.4,1.8,0.276
Reggie Miller,SG,80,28.2,7.4,4.2,0.401
Troy Murphy,PF,28,21.8,8.7,0.6,0.294
Vlade Divac,C,81,28.6,8.2,0.2,0.154
Vin Baker,PF,54,24.3,8,0.1,0.333
Brian Cardinal,PF,76,21.5,6.1,1.6,0.444
Kendall Gill,SG,56,25.2,9.8,0.7,0.237
Jarvis Hayes,SF,70,29.2,9.9,1.9,0.305
Mehmet Okur,PF,71,22.3,7.6,0.7,0.375
Ben Wallace,C,81,37.7,9.2,0.1,0.125
Corliss Williamson,PF,79,19.9,7.6,0,0
Juan Dixon,SG,71,20.8,9,2.8,0.298
Marc Jackson,PF,22,27.2,7.8,0,0
Stromile Swift,PF,77,19.8,7.4,0.1,0.25
Lorenzen Wright,C,65,25.8,9,0.1,0
Mike James,PG,81,27.1,8.1,3.5,0.377
Anfernee Hardaway,SG,76,27.6,8.9,1,0.38
Caron Butler,SF,68,29.9,9.3,0.6,0.238
Aaron McKie,SF,75,28.2,7.7,2.3,0.436
Hedo Türkoğlu,SF,80,25.9,8.1,3,0.419
Jiří Welsch,SG,81,26.9,7.6,2.2,0.381
Dion Glover,SG,69,23.8,8.5,1.7,0.336
Antonio Davis,C,80,32.1,8.3,0,0
Etan Thomas,C,79,24.1,6.7,0,0
Alvin Williams,SG,56,30.9,8.9,1.6,0.292
Brian Grant,C,76,30.3,8.1,0,0
Rasho Nesterović,C,82,28.7,8.5,0,0
Marcus Camby,C,72,30,7.6,0,0
Josh Howard,SF,67,23.7,7.9,1,0.303
Chris Wilcox,C,65,20.6,6.7,0,0
Shane Battier,SF,79,24.6,6.9,2.4,0.349
Marquis Daniels,SG,56,18.6,7.3,0.6,0.306
Marko Jarić,PG,58,30.3,8.2,2.6,0.34
Chucky Atkins,PG,64,24.1,7.6,3.8,0.336
Toni Kukoč,PF,73,20.8,6.9,2.3,0.292
Stanislav Medvedenko,PF,68,21.2,7.9,0,0
Morris Peterson,SF,82,26.2,7.2,4.1,0.371
Jamaal Tinsley,PG,52,26.5,7.1,4,0.372
Derrick Coleman,C,34,24.8,7.6,1.1,0.222
Samuel Dalembert,C,82,26.8,6.1,0,0
Antonio Daniels,PG,71,21.3,5.6,1.6,0.362
Alonzo Mourning,C,12,17.9,5.9,0,0
Theo Ratliff,C,85,31.3,6.5,0,0
Shandon Anderson,SG,80,24.7,7.1,1.6,0.281
Leandro Barbosa,PG,70,21.4,6.7,3,0.395
Walter McCarty,PF,77,24.7,6.8,4.8,0.374
Malik Rose,PF,67,18.7,6,0,0
Marcus Fizer,SF,46,16,7.6,0.4,0.118
Raef LaFrentz,C,17,19.3,7.3,2.4,0.2
Rodney Rogers,PF,69,20.4,7.3,2.2,0.329
Bobby Simmons,SF,56,24.6,6.7,0.2,0.167
Calbert Cheaney,SF,79,26.2,7.3,0.1,0
Bob Sura,SG,80,20.8,6.1,1,0.266
Troy Hudson,PG,29,17.3,7.1,2.7,0.403
Rodney White,SF,72,13.7,6.5,1.2,0.379
Nazr Mohammed,C,80,20.1,5.9,0,0
Devean George,SF,82,23.8,7,2.3,0.349
Udonis Haslem,PF,75,23.9,6,0,0
Derek Fisher,SG,82,21.6,7,2.2,0.291
T.J. Ford,PG,55,26.8,7.2,0.4,0.238
Vitaly Potapenko,C,65,21.8,6.3,0,0
Jonathan Bender,SF,21,12.9,5,1,0.409
Brendan Haywood,C,77,19.3,5,0,0
Damon Jones,PG,82,24.6,6.4,3.3,0.359
Raül López,PG,82,19.7,6.3,1,0.294
Antonio McDyess,PF,42,22.1,6.4,0,0
Howard Eisley,PG,67,21.7,6.7,2.4,0.319
Bruce Bowen,SF,82,32,6.1,2.6,0.363
Willie Green,SG,53,14.5,6.7,1.2,0.311
Lucious Harris,PG,69,21.8,6.7,1.5,0.376
Ruben Patterson,SF,73,22.6,5.4,0.2,0.167
