Player,Pos,G,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Sam Hauser,PF,71,0.842,3.1,12.7,7.9,5.8,1.3,0.8,4.6,14.3
Ziaire Williams,SF,63,0.581,4.3,17.5,10.6,8.5,2,1.8,10.5,18.2
Gabe Vincent,PG,72,0.736,1.5,5.2,3.4,8.7,1.6,0.8,8.7,13.5
Victor Wembanyama,C,46,0.47,5.7,29.8,17.7,18.3,1.6,10.4,13.7,30.4
Jerami Grant,PF,47,0.516,1.8,10,5.8,9.5,1.3,2.7,9.1,19.4
Jonas Valančiūnas,C,81,0.059,13.3,30.7,22,17.6,1.2,2.8,14.6,22.8
Kyle Filipowski,C,72,0.425,8,23.1,15.6,13.9,1.5,1.4,14.9,18.7
Ja Morant,PG,50,0.321,2.4,11.8,7.1,36,1.9,0.7,15.2,32.2
Matas Buzelis,SF,80,0.479,3.9,15.2,9.6,7.2,0.9,4.3,10.9,18.7
LaMelo Ball,PG,47,0.526,3.3,13.4,8.2,43.8,1.8,0.8,13.1,35.9
Dalton Knecht,SF,78,0.61,2.9,13.1,8.1,6.5,0.8,0.5,5.9,18.5
Kevin Porter Jr.,SG,75,0.271,3.2,17.3,10.4,25.9,2.7,0.9,15.8,25.4
D'Angelo Russell,PG,58,0.564,1.5,11,6.2,31.2,1.9,1.5,13.3,24
Lauri Markkanen,PF,47,0.57,5.3,14.9,10.1,7.5,1.1,1.1,7.8,24
Luke Kennard,SG,65,0.606,2.7,10.4,6.6,18.5,1.6,0.3,13.6,14.5
Jamal Shead,PG,75,0.442,2.1,6.4,4.2,29.8,1.9,0.7,18,18.6
Aaron Gordon,PF,51,0.346,6.4,12.1,9.4,15,0.8,0.9,11.3,19
Isaiah Stewart,C,72,0.168,10.1,20.6,15.4,11.3,0.9,6.7,16.1,12.4
Brice Sensabaugh,SF,71,0.621,3.2,12.6,7.9,12,1.5,0.5,14.5,21.5
Goga Bitadze,C,70,0.083,12.7,25,18.6,14.8,1.7,6.6,15.3,14.3
Kel'el Ware,C,64,0.239,9.1,27.5,18.4,6.5,1.4,4.8,10.4,17.2
Tari Eason,PF,57,0.329,9.4,17.9,13.6,8.5,3.3,3.2,9.7,19.4
Zach Edey,C,66,0.12,17.5,23.4,20.5,6.1,1.2,5.5,15.3,16.4
T.J. McConnell,PG,79,0.079,3.5,11.6,7.6,37,2.8,1.3,14.2,23.4
Terance Mann,SG,67,0.395,5.3,10.4,7.8,11.7,1.6,1,9.6,14.7
Ryan Dunn,SF,74,0.553,7.5,13.5,10.6,5.7,1.5,2.7,7.5,16.7
Sam Merrill,SG,71,0.868,3,8.9,6.1,9.6,1.8,0.9,7.4,14.3
Ayo Dosunmu,SG,46,0.421,2,10,6.1,20.2,1.4,1.1,12.5,16.6
Ty Jerome,SG,70,0.409,4,9.3,6.7,24.5,2.7,0.2,11.9,23.6
Julian Strawther,SG,65,0.553,1.4,9.5,5.6,7.6,1.4,1,9.8,17.8
Nick Smith Jr.,SG,60,0.539,1,9.1,5,16.7,0.6,0.4,12.2,20.8
Jaime Jaquez Jr.,SF,66,0.258,6.8,16.5,11.7,17.9,2.2,1,15.7,20.2
Nicolas Batum,PF,78,0.853,4,14,9,7.8,1.9,2.6,12.1,9
Jose Alvarado,PG,56,0.593,2.1,8.9,5.4,27.3,2.6,1,13.4,19.8
Jeremy Sochan,PF,54,0.194,10,17.7,13.8,13.7,1.6,1.8,13.8,19
Luke Kornet,C,73,0.011,15.2,15.8,15.5,11.9,1.3,4.8,8.8,11.4
Trey Lyles,PF,69,0.636,6.6,19.6,13.1,7.9,1.5,1.7,8.7,14.3
Jake LaRavia,PF,66,0.421,7.2,13.3,10.3,14.6,2.2,1.6,18.2,14.4
Bogdan Bogdanović,SG,54,0.587,2,11.2,6.6,15.2,1.5,0.8,12.4,18.7
Justin Champagnie,SF,62,0.47,8.6,18.6,13.6,6.8,2.3,2.6,10.9,15.6
Paul George,PF,41,0.47,2,17.2,9.3,20.9,2.8,1.5,14.7,23.5
Ausar Thompson,SF,59,0.107,9.3,15.9,12.6,14.4,3.5,2.9,13.3,19.1
Donovan Clingan,C,67,0.147,17.3,26.1,21.6,8.3,1.2,7.5,15.9,14.2
Jordan Hawkins,SG,56,0.597,2,11.2,6.5,7.3,1.1,1.7,8.8,21
Tyrese Martin,SG,60,0.606,4.8,14.6,9.5,14.6,1.3,0.7,13.1,18.8
Mason Plumlee,C,74,0.02,10.2,28.4,19.5,13.6,1.3,3.4,18.6,10.8
Jonathan Mogbo,PF,63,0.197,8.9,17.3,13,15.3,2.1,2.5,15.1,15
Jalen Johnson,SF,36,0.26,5.2,26,15.3,20.5,2,2.6,15.1,22.5
Max Strus,SF,50,0.786,4.6,13.6,9.2,15.6,1,0.9,12.2,14.7
Johnny Juzang,SG,64,0.661,3.6,12,7.8,7.9,1.5,0.6,6.7,17.6
Ron Holland,SF,81,0.363,3.5,15.5,9.5,8.9,1.9,1.3,13.3,18.1
Javonte Green,SG,68,0.491,5,13.9,9.4,5.9,2.5,2.4,9.1,11.8
Nick Richards,C,57,0.006,13.1,27.5,20.4,5.9,0.5,4.2,16.3,17.3
Dean Wade,PF,59,0.819,4.5,16.6,10.8,7.3,1.6,1.4,7.2,10.4
Ricky Council IV,SF,73,0.46,4.4,15.4,9.7,11.4,1.3,1,8.9,20.3
Tidjane Salaün,PF,60,0.594,5.9,18.4,12,8.5,1.1,1.1,13.1,15.2
Bobby Portis,PF,49,0.299,8.2,27,18,12.9,1.4,1.9,8.3,24.1
Moussa Diabaté,C,71,0.021,15.7,22,18.8,6.8,1.8,3.2,15.6,13.4
Jeremiah Robinson-Earl,PF,66,0.473,9.3,18.4,13.7,9.9,1.5,0.5,12.1,14.4
Simone Fontecchio,SF,75,0.609,4.7,14.5,9.6,6.9,1.2,0.9,11.6,15.8
Cole Anthony,PG,67,0.401,4.1,15.5,9.5,25.5,1.8,2.5,14.8,24.6
Ben Sheppard,SG,63,0.693,4,12,8,8.6,1.5,1,6.9,11.3
Daniel Gafford,C,57,0,14.1,20.3,17.2,10.2,0.9,7.1,11.9,19.5
John Collins,PF,40,0.279,7.9,20.9,14.4,10.8,1.5,3.1,14.6,24.2
Caleb Martin,SF,45,0.339,4.8,11.7,8.2,10.7,1.9,1.8,13.9,14.4
Kristaps Porziņģis,C,42,0.436,6.1,19.3,12.8,11.4,1.3,4.8,7.4,25.9
Brandon Clarke,PF,64,0.045,11.3,17.3,14.3,7.4,2,2.7,8.9,15.3
Deandre Ayton,C,40,0.068,10.9,26,18.2,8.5,1.2,2.9,12.2,19.4
Jarace Walker,PF,75,0.514,2.4,19,10.8,12.2,2.2,1.9,16.7,17.1
Kawhi Leonard,SF,37,0.305,3.4,17.4,10.5,16.4,2.5,1.4,9.6,27.7
Clint Capela,C,55,0.003,15.8,28.2,21.8,7.4,1.4,4.1,9.8,16.7
Cody Martin,SF,53,0.465,4.8,15.9,10.3,13,2.4,2.7,12.7,14.7
Mark Williams,C,44,0.009,11.8,29.3,20.3,16.5,1.3,4.5,12,21.4
Precious Achiuwa,C,57,0.11,10,21,15.5,6.2,2,3.3,11.2,14.9
Nikola Jović,PF,46,0.557,2.5,14.6,8.6,16.6,1.6,1.1,12.6,18.3
Justin Edwards,SF,44,0.503,4.3,10.4,7.3,8.9,1.9,1.4,11,16.9
Vít Krejčí,PG,57,0.705,2,13.1,7.4,16.5,1.5,2.1,13.8,12.9
Jonathan Kuminga,PF,47,0.266,5.1,15.6,10.2,14.6,1.6,1.7,9.6,27.4
Kevon Looney,C,76,0.018,16.9,26.9,21.8,14.3,2,3.1,10.8,13.3
Kenrich Williams,PF,69,0.483,6.3,16.3,11.4,11,1.8,0.9,9.5,15.4
Julian Phillips,SF,79,0.533,6.4,9.4,7.9,4.4,1.6,1.5,7.8,12.9
Aaron Nesmith,SF,45,0.515,3.7,13.9,8.8,6.6,1.5,1.4,8.2,17.4
Dalano Banton,PG,67,0.438,2.8,10.4,6.5,21.5,1.9,2.8,13.3,24.1
Ben Simmons,PG,51,0,4.6,20.3,12.2,37,1.7,2,30,13.2
Ja'Kobe Walter,SG,52,0.473,5.6,10.1,7.8,10.2,1.9,0.9,10.4,18.2
Jaxson Hayes,C,56,0.013,8.3,19.1,13.9,7.5,1.4,4.4,13.9,12.4
Cameron Payne,PG,72,0.574,1.5,9.4,5.5,25.5,1.8,1.4,10,20.8
Jonathan Isaac,PF,71,0.466,12,21.5,16.5,5.5,2.8,7,8.2,16.2
DaQuan Jeffries,SG,47,0.564,3.6,10,6.7,7.2,1.2,2.3,10.3,13.5
Jusuf Nurkić,C,51,0.298,8.8,32,20.5,16.8,1.9,3.1,19.2,20.6
Seth Curry,SG,68,0.531,2.4,9.1,5.7,8.8,1.3,0.6,8.2,15.7
Cody Williams,SG,50,0.525,2.8,8.7,5.7,7.4,1,1.4,13.8,12.5
Isaac Okoro,SG,55,0.566,5.2,8.1,6.7,8,1.5,1.4,7.4,12.5
Oso Ighodaro,PF,61,0.011,7.2,16.2,11.9,9.1,1.3,2.6,15.7,10.5
Jared Butler,SG,60,0.373,2.5,9.3,5.8,33.8,2,1.2,14,23.6
Jamison Battle,SF,59,0.746,3.7,12.8,8.1,7.1,0.8,0.9,7.1,15.3
Noah Clowney,PF,46,0.702,4.5,15.8,9.9,5.9,1.1,2,10.2,19
Alex Caruso,SG,54,0.541,4,12.2,8.2,16.6,4,2.9,9.9,15.2
Kris Murray,SF,69,0.43,7.7,11.3,9.5,9,1.6,1.5,12.4,13.9
Dejounte Murray,PG,31,0.352,1.8,20.1,10.7,34.6,3,1.1,16.2,27.3
Jalen Suggs,PG,35,0.503,2.5,14.2,8.1,21.6,2.5,3.2,16.2,27.5
Kyle Anderson,PF,61,0.231,5.7,16.8,11.2,20.7,2,3.1,10,15.9
Brandon Boston Jr.,SG,42,0.367,3,11.9,7.3,13.7,2.6,0.9,11.1,20
Dalen Terry,SG,73,0.388,4.1,9,6.6,12.7,2.1,1.3,15.1,14.9
Andre Jackson Jr.,SG,67,0.386,7.5,12.5,10.1,10.9,1.7,1.3,21.8,11.9
Zach Collins,PF,64,0.351,11.1,19.9,15.6,15.6,1.4,2.6,15.1,17.1
Trayce Jackson-Davis,C,62,0.01,13.2,21.7,17.3,16.1,1.2,3.7,11.5,17.1
Thomas Bryant,C,66,0.461,9.7,19.2,14.5,7.6,1.4,3.9,7.9,17.1
Jalen Smith,C,64,0.544,9.9,28.7,19.5,9.7,0.8,4,7.6,21
Jordan Clarkson,SG,37,0.471,2.8,10.4,6.6,22.9,1.5,0.9,13.4,27.8
Gary Payton II,SG,62,0.319,6,15.8,10.7,13.5,2.7,1.7,11,16.1
Brandon Miller,SF,27,0.597,2.8,12.5,7.6,18.3,1.5,2.1,12.6,27.7
Bruce Brown,PG,41,0.262,4.5,14.9,9.6,12.8,1.8,1,10.4,17.2
Immanuel Quickley,PG,33,0.514,1.8,12.1,6.8,31.5,1.2,0.4,10.5,25.1
Trendon Watford,PF,44,0.251,4.4,16,9.9,21,1.5,1.3,17.1,23.3
KJ Martin,PF,43,0.289,3.6,11.8,7.6,7.4,0.9,2.3,9.8,11.5
Day'Ron Sharpe,C,50,0.142,17.8,23.8,20.7,16.8,2.3,4.6,15.3,19.9
Jaden Hardy,SG,57,0.476,1.1,9.4,5.3,13.2,1.5,0.5,15.4,25.3
Adem Bona,C,58,0.005,11.1,19.9,15.3,4.4,1.4,7.5,20.5,14.3
Tre Jones,PG,46,0.202,3.7,9.9,6.8,28.6,1.9,1,11.6,14.1
Jaden Ivey,SG,30,0.373,5,10.3,7.6,19.7,1.5,1.2,16.1,26
Kelly Olynyk,C,44,0.295,7.3,17.9,12.4,20.5,1.8,2,19.4,18.5
Chet Holmgren,C,32,0.34,6,25,15.7,9.7,1.3,8.2,12.3,22
Neemias Queta,C,62,0.015,11.2,18.5,14.9,7.4,1,4.5,14.8,13.7
Alec Burks,SG,49,0.764,1.9,13.8,7.9,9.1,1.6,0.8,9,16.5
Chris Boucher,PF,50,0.522,8.5,19.6,13.9,5.9,1.3,2.8,6.6,21.2
Zion Williamson,PF,30,0.026,9.3,18.2,13.6,36.6,2.1,3,12.8,34.7
Khris Middleton,SF,37,0.395,1.7,15.4,8.7,26.8,2,0.9,13,22
KJ Simpson,PG,36,0.432,4.8,9,6.9,19.8,2,0.7,14.8,19.1
Shake Milton,SG,57,0.417,4.2,9.9,7,18.3,1.5,0.5,12.5,16.7
Dereck Lively II,C,36,0,13.9,21.3,17.7,14.3,1.2,5.7,15.5,13.6
Garrison Mathews,SG,47,0.848,1.7,10,5.7,9.3,1.5,1.7,9.6,15.9
Cam Whitmore,SF,51,0.454,4.5,15.1,9.7,8.9,1.8,1.4,9.6,23.9
Ryan Rollins,PG,56,0.443,2.9,11.1,7.2,17.8,2.5,1.9,15.4,18.4
Marcus Sasser,PG,57,0.514,2.5,6.9,4.7,22.9,2.2,0.5,14.5,19.4
Steven Adams,C,58,0.012,21.8,22,21.9,10.9,1.3,3.2,20.6,13.6
Aaron Holiday,PG,62,0.675,1.7,8.9,5.2,14.3,1.2,1.2,11.5,16.8
Karlo Matković,PF,42,0.281,8.5,20.4,14.2,8.6,1.3,5,14.5,15.9
Caleb Houstan,SF,58,0.842,2.6,8.6,5.5,6.4,1.4,0.7,6.2,11.7
Vasilije Micić,PG,41,0.458,2.7,9.6,6,24.3,0.9,0,20.9,19.9
