Player,Pos,G,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Brandon Williams,PG,33,0.319,2.7,10.1,6.5,23.2,2.4,0.9,15.2,22.6
A.J. Lawson,SG,26,0.532,4.3,14.9,9.5,9.1,1.3,1.2,6.4,20
Grant Williams,PF,16,0.602,3.9,14.5,9.1,11.3,1.8,2.7,16.7,14.8
Lonnie Walker IV,SG,20,0.599,1.4,14.1,7.5,16.5,1,1,10,22.8
Duop Reath,C,46,0.639,9.9,11.4,10.6,8,1.2,2.7,8.3,17
Reece Beekman,PG,36,0.374,3,6.6,4.7,19.1,3.5,0.4,15.3,12.8
Kai Jones,C,40,0.046,9.6,19.7,14.8,7.9,1.6,4.6,12.8,13
Larry Nance Jr.,PF,24,0.49,5.3,19.4,12.2,11.3,2,2.6,9.1,15.7
Collin Gillespie,PG,33,0.57,5.5,13.2,9.4,24,2.3,1,9.2,17.7
Rayan Rupert,SG,52,0.415,6,10.6,8.2,7.6,1.7,0.8,16.2,16.8
GG Jackson II,PF,29,0.477,6.3,14.8,10.6,8.2,1.2,1,12.5,21.7
Jaylon Tyson,SG,47,0.389,9.1,13.7,11.5,12.4,1.4,0.6,14,17.4
Bol Bol,PF,36,0.508,5.1,20.4,13,7.7,1,5.2,9.3,21.1
Paul Reed,C,45,0.197,10.2,20.8,15.6,14,4.3,5.4,13.9,18
Colin Castleton,C,26,0.163,13,17.9,15.4,8.9,0.9,2.2,16.7,13.4
