Player,Pos,G,MP,FGA,3PA,3P%
Devin Vassell,SG,64,31,13.9,6.7,0.368
Jordan Clarkson,SG,37,26,13.3,6.3,0.362
Paul George,PF,41,32.5,13.9,6.5,0.358
Jalen Suggs,PG,35,28.6,13.7,6.9,0.314
Bennedict Mathurin,SF,72,29.8,11.8,4,0.34
Myles Turner,C,72,30.2,11.3,5.5,0.396
Christian Braun,SG,79,33.9,10.4,2.8,0.397
Jonathan Kuminga,PF,47,24.3,12.1,3.2,0.305
Jared McCain,SG,23,25.7,11.9,5.8,0.383
Mark Williams,C,44,26.6,10.2,0.1,0
Kelly Oubre Jr.,SF,60,34.6,12.4,4,0.293
Chet Holmgren,C,32,27.4,10.7,3.6,0.379
Kyle Kuzma,PF,65,29.8,13,4.8,0.307
Stephon Castle,SG,81,26.7,12.2,4.1,0.285
Aaron Gordon,PF,51,28.4,9.7,3.4,0.436
P.J. Washington,PF,57,32.2,11.7,4.2,0.381
Quentin Grimes,SG,75,26.8,11,5.6,0.385
Josh Giddey,PG,70,30.2,11.4,4,0.378
Jakob Poeltl,C,57,29.6,10.2,0.1,0.333
Deandre Ayton,C,40,30.2,11.7,0.8,0.188
Gradey Dick,SG,54,29.4,12,6,0.35
Jerami Grant,PF,47,32.4,12.2,6.3,0.365
Payton Pritchard,PG,80,28.4,10.8,7.8,0.407
Naz Reid,C,80,27.5,11.5,5.8,0.379
Dyson Daniels,SG,76,33.8,12.1,3.1,0.34
Tre Mann,PG,13,24.5,12.4,4.6,0.4
Amen Thompson,SF,69,32.2,10.1,1.3,0.275
Fred VanVleet,PG,60,35.2,12.7,7.7,0.345
Dillon Brooks,SF,75,31.8,11.9,6.3,0.397
Tolu Smith,PF,1,22,9,0,0
Klay Thompson,SF,72,27.3,12.2,7.7,0.391
Bobby Portis,PF,49,25.4,12.1,3.6,0.365
Tobias Harris,PF,73,31.6,11,3.6,0.345
Josh Hart,SG,77,37.6,10,3.3,0.333
Jarrett Allen,C,82,28,7.8,0.1,0
Onyeka Okongwu,C,74,27.9,9.2,2,0.324
Russell Westbrook,PG,75,27.9,11.1,3.9,0.323
Naji Marshall,SF,69,27.8,10.3,3.2,0.275
Dennis Schröder,PG,75,28.1,11,4.9,0.342
Rui Hachimura,PF,59,31.7,9.8,4.2,0.413
Brook Lopez,C,80,31.8,9.7,4.7,0.373
Alex Sarr,C,67,27.1,12.4,5.1,0.308
Moritz Wagner,C,30,18.8,8.3,2.5,0.36
Malcolm Brogdon,PG,24,23.5,10,2.3,0.286
Scoot Henderson,PG,66,26.7,10.4,4.5,0.354
Keldon Johnson,SF,77,23.9,10,3.6,0.318
D'Angelo Russell,PG,58,25.5,11,6.2,0.314
Zaccharie Risacher,SF,75,24.6,10.4,4.6,0.355
Santi Aldama,PF,65,25.5,10,5,0.368
Ty Jerome,SG,70,19.9,8.8,3.6,0.439
Keegan Murray,PF,76,34.3,10.8,5.9,0.343
Lonnie Walker IV,SG,20,23.9,10.6,6.4,0.354
Harrison Barnes,PF,82,27.2,8.3,4.4,0.433
Bilal Coulibaly,SF,59,33,10.6,3.8,0.281
Ayo Dosunmu,SG,46,30.3,9.8,4.1,0.328
Daniel Gafford,C,57,21.5,7.1,0,0
Jaden McDaniels,PF,82,31.9,10.2,3.7,0.33
Jabari Smith Jr.,PF,57,30.1,9.9,4.9,0.354
Caris LeVert,SG,64,24.9,9.4,4.4,0.373
Drew Timme,PF,9,28.2,11.3,3.9,0.257
Tari Eason,PF,57,24.9,9.8,3.2,0.342
Rudy Gobert,C,72,33.2,7.1,0,0
Aaron Nesmith,SF,45,24.9,8.4,4.3,0.431
Aaron Wiggins,SG,76,22.9,9.6,4.5,0.383
Khris Middleton,SF,37,22.8,9.1,3.6,0.361
Jalen Duren,C,78,26.1,7,0,0
Donte DiVincenzo,SG,62,25.9,9.6,7.1,0.397
Brandin Podziemski,SG,64,26.8,9.8,4.8,0.372
Corey Kispert,SF,61,26.3,9.3,5.4,0.364
Jeremy Sochan,PF,54,25.3,8.7,1.7,0.308
Toumani Camara,PF,78,32.7,9.2,4.6,0.375
Isaiah Hartenstein,C,57,27.9,8.4,0.3,0
Buddy Hield,SG,82,22.7,9.6,6.7,0.37
Jrue Holiday,PG,62,30.6,9.2,4.9,0.353
Walker Kessler,C,58,30,7.2,0.6,0.176
Gary Trent Jr.,SG,74,25.6,8.9,5.9,0.416
Spencer Dinwiddie,PG,79,27,8.6,4.1,0.334
Tim Hardaway Jr.,SG,77,28,8.8,5.9,0.368
Duncan Robinson,SF,74,24.1,9,6.5,0.393
Guerschon Yabusele,C,70,27.1,8,3.9,0.38
Brice Sensabaugh,SF,71,20.2,8.4,5.2,0.422
Bogdan Bogdanović,SG,54,25,9.1,5.4,0.363
Jordan Hawkins,SG,56,23.6,9.9,5.9,0.331
Brandon Boston Jr.,SG,42,23.6,9.1,3.3,0.35
Nikola Jović,PF,46,25.1,8.2,4.6,0.371
Grayson Allen,SG,64,24.1,7.6,5.5,0.426
Keon Johnson,SG,79,24.4,9.9,5.1,0.314
Terry Rozier,PG,64,25.9,9.9,4.8,0.295
Obi Toppin,PF,79,19.6,7.6,3.8,0.365
Jonas Valančiūnas,C,81,18.8,7.7,0.5,0.216
Ochai Agbaji,SG,64,27.2,8.3,4,0.399
Jaylen Wells,SG,79,25.9,8.6,5,0.352
Grant Williams,PF,16,29.9,7.7,4.6,0.365
Kevin Porter Jr.,SG,75,19.8,8.7,2.4,0.311
Jose Alvarado,PG,56,24.4,9.3,5.5,0.359
Nic Claxton,C,70,26.9,8.1,0.3,0.238
Herbert Jones,SF,20,32.4,8.6,3.6,0.306
De'Anthony Melton,SG,6,20.2,9,5.8,0.371
Isaiah Joe,SG,74,21.7,7.9,6.3,0.412
Tyus Jones,PG,81,26.8,8.4,5,0.414
Trendon Watford,PF,44,20.8,8,2,0.33
Keion Brooks Jr.,SF,14,23.7,7.8,3.1,0.326
Luguentz Dort,SF,71,29.2,8.4,5.8,0.412
Justin Edwards,SF,44,26.3,8.6,4.3,0.363
Derrick Jones Jr.,SF,77,24.3,7.6,2.8,0.356
Ausar Thompson,SF,59,22.5,7.8,0.8,0.224
Chris Boucher,PF,50,17.2,7.4,3.9,0.363
Andrew Nembhard,SG,65,28.9,8.3,2.7,0.291
Ziaire Williams,SF,63,24.5,8.3,4.8,0.341
Kevin Huerter,SG,69,24.3,8.8,5.7,0.338
Georges Niang,PF,79,21.5,7.8,5.2,0.406
Julian Champagnie,SF,82,23.6,8.1,5.9,0.371
Scotty Pippen Jr.,PG,79,21.3,7.5,2.8,0.397
Nick Smith Jr.,SG,60,22.8,9.5,5.1,0.34
Bub Carrington,PG,82,30,9.1,5,0.339
Moses Moody,SG,74,22.3,7.7,4.6,0.374
Amir Coffey,SG,72,24.3,7.1,3.4,0.409
Max Christie,SG,78,27.3,7.6,4,0.366
Kyle Filipowski,C,72,21.1,7.2,3.1,0.35
Tosan Evbuomwan,SF,28,23.8,7.9,2.8,0.312
Miles McBride,SG,64,24.9,8.5,4.9,0.369
Jalen Wilson,PF,79,25.7,7.8,4.6,0.337
Nickeil Alexander-Walker,SG,82,25.3,7.5,4.5,0.381
Cole Anthony,PG,67,18.4,8.1,3.3,0.353
Anthony Black,PG,78,24.2,7.9,2.5,0.318
Max Strus,SF,50,25.5,7.5,5.9,0.386
Tristan Vukcevic,C,35,14.7,6.9,2.9,0.373
Cam Whitmore,SF,51,16.2,7.9,3.6,0.355
Nick Richards,C,57,22,6.1,0,0
Kel'el Ware,C,64,22.2,7.3,1.7,0.315
Zach Edey,C,66,21.5,6.6,0.8,0.346
Wendell Carter Jr.,C,68,25.9,7.2,2.3,0.234
Noah Clowney,PF,46,22.7,8.1,5.7,0.333
Dalton Knecht,SF,78,19.2,7.1,4.4,0.376
A.J. Lawson,SG,26,18.7,7.3,3.9,0.327
T.J. McConnell,PG,79,17.9,7.9,0.6,0.306
Yves Missi,C,73,26.8,6.7,0,0
Royce O'Neale,SF,75,24.5,7.6,5.9,0.406
Jared Butler,SG,60,17.4,7.6,2.8,0.355
Marcus Smart,PG,34,20,7.6,4.1,0.348
Draymond Green,PF,68,29.2,7.5,3.6,0.325
Killian Hayes,PG,6,27,7.2,3.5,0.381
Al Horford,C,60,27.7,7.7,5.2,0.363
Julian Strawther,SG,65,21.3,7.5,4.1,0.349
Patrick Williams,PF,63,25,8.2,4.3,0.353
Jusuf Nurkić,C,51,20.8,6.9,2.1,0.305
Clint Capela,C,55,21.4,7.1,0,0
Johnny Juzang,SG,64,19.8,7.4,4.9,0.376
Luke Kennard,SG,65,22.6,6.6,4,0.433
Justin Champagnie,SF,62,21.6,6.6,3.1,0.383
Svi Mykhailiuk,SF,38,20,7.9,5.3,0.345
Chris Paul,PG,82,28,7.1,4.5,0.377
Kelly Olynyk,C,44,20.3,6.1,1.8,0.418
Dorian Finney-Smith,PF,63,28.9,6.9,5,0.411
Oshae Brissett,SF,6,23.7,6.5,3,0.333
Kentavious Caldwell-Pope,SG,77,29.6,7.1,4.3,0.342
Isaiah Collier,PG,71,25.9,7.8,2.4,0.249
Danté Exum,PG,20,18.6,6.7,2.7,0.434
Kyshawn George,SG,68,26.5,8,5.2,0.322
Jaden Hardy,SG,57,15.9,7.3,3.5,0.386
Dereck Lively II,C,36,23.1,5.3,0,0
Tyrese Martin,SG,60,21.9,7.8,4.7,0.351
Matas Buzelis,SF,80,18.9,6.9,3.3,0.361
Jaime Jaquez Jr.,SF,66,20.7,7,1.8,0.311
Ja'Kobe Walter,SG,52,21.2,7.6,3.6,0.349
Sam Hauser,PF,71,21.7,6.7,5.6,0.416
Larry Nance Jr.,PF,24,19.3,6.5,3.2,0.447
Jared Rhoden,SG,14,16.2,6.2,2.8,0.308
Jaylen Nowell,SG,8,21,9.1,3.4,0.296
Cason Wallace,SG,68,27.6,7.2,3.1,0.356
Bruce Brown,PG,41,22.5,7.5,2,0.333
Dalano Banton,PG,67,16.7,7.6,3.3,0.324
Brandon Clarke,PF,64,18.9,5.9,0.3,0.059
Keon Ellis,SG,80,24.4,5.8,4,0.433
Brandon Williams,PG,33,14.8,5.7,1.8,0.4
Mike Conley,PG,71,24.7,6.6,4.4,0.41
Taurean Prince,SF,80,27.1,6.4,4.2,0.439
Jalen Smith,C,64,15,6.4,3.5,0.324
Quinten Post,PF,42,16.3,6.5,4.3,0.408
Peyton Watson,SF,68,24.4,6.3,2,0.353
Davion Mitchell,PG,74,27.4,6.4,2.9,0.398
Caleb Martin,SF,45,27.1,6.8,2.3,0.359
Tyson Etienne,PG,7,21.6,7.4,6.3,0.295
Day'Ron Sharpe,C,50,18.2,6.3,0.9,0.244
KJ Simpson,PG,36,23.4,8.4,3.6,0.254
Terance Mann,SG,67,21.1,6.2,2.4,0.368
Karlo Matković,PF,42,18.8,5.6,1.6,0.318
AJ Johnson,SG,29,22,7.3,3.1,0.267
Lonzo Ball,PG,35,22.2,6.9,5.6,0.344
Oscar Tshiebwe,C,14,18.2,5,0,0
Garrison Mathews,SG,47,17.7,5.5,4.6,0.39
Matisse Thybulle,SG,15,20.8,5.9,3.2,0.438
A.J. Green,SG,73,22.7,5.8,5,0.427
Josh Green,SG,68,27.8,6.2,3.6,0.391
Richaun Holmes,PF,31,17.2,4.5,0.1,0
Damion Baugh,SG,15,24.7,8.7,3.7,0.214
Alec Burks,SG,49,17.6,5.5,4.2,0.425
Ricky Council IV,SF,73,17.1,6.3,2.9,0.258
Andre Drummond,C,40,18.8,5.9,0.5,0.15
Tre Jones,PG,46,19.7,5.2,1,0.396
Goga Bitadze,C,70,20.4,4.8,0.4,0.107
Tristan Da Silva,SF,74,22,6.5,3.2,0.335
GG Jackson II,PF,29,15.8,6.9,3.3,0.337
Vít Krejčí,PG,57,20.2,5.1,3.6,0.437
Sam Merrill,SG,71,19.7,6,5.2,0.372
Daeqwon Plowden,SG,6,12,4.2,2.8,0.529
Nae'Qwan Tomlin,PF,5,12.6,6.4,2,0.2
Josh Okogie,SG,40,15.6,5.3,2.3,0.348
Jalen Hood-Schifino,SG,15,21,6.5,3.1,0.304
Jamison Battle,SF,59,17.7,5.9,4.4,0.405
Alex Caruso,SG,54,19.3,5.8,3.1,0.353
Jamal Shead,PG,75,19.6,6.7,3,0.323
Jeff Dowtin Jr.,PG,41,15.1,5.6,1.7,0.4
Marcus Garrett,SG,4,19.8,6.8,2,0.375
Isaiah Jackson,C,5,16.8,4.6,0,0
Jaylen Sims,SG,6,18.7,4.7,2.5,0.4
Orlando Robinson,C,44,17.5,5.9,1.2,0.327
Jake LaRavia,PF,66,20.4,5.1,2.2,0.423
Ryan Dunn,SF,74,19.1,6.4,3.6,0.311
Jay Huff,C,64,11.7,4.8,3.1,0.405
Cameron Payne,PG,72,15.1,6.2,3.6,0.363
Antonio Reeves,SG,44,15,5.6,2.9,0.395
Cody Martin,SF,53,22.1,6.1,2.8,0.285
Bol Bol,PF,36,12.4,5.1,2.6,0.344
Eric Gordon,SG,39,19.7,5.2,3.5,0.409
Jaxson Hayes,C,56,19.5,4,0.1,0
Marcus Bagley,SF,10,25.3,6.9,3.2,0.156
DaQuan Jeffries,SG,47,22.8,6.2,3.5,0.335
Lester Quiñones,SG,13,14.1,6,3.4,0.295
Vasilije Micić,PG,41,19.1,6.7,3,0.36
Precious Achiuwa,C,57,20.5,5.7,0.6,0.278
Trayce Jackson-Davis,C,62,15.6,4.9,0,0
Marcus Sasser,PG,57,14.2,5.2,2.7,0.382
Vince Williams Jr.,SG,27,18.5,6.2,3.5,0.274
Thomas Bryant,C,66,14.6,4.9,2.2,0.324
Donovan Clingan,C,67,19.8,5,0.7,0.286
Seth Curry,SG,68,15.6,5,2.7,0.456
Haywood Highsmith,SF,74,24.6,5.3,3.1,0.382
Talen Horton-Tucker,SG,58,12.5,5,2.1,0.336
Trey Lyles,PF,69,19.6,5.4,3.4,0.34
Ajay Mitchell,SG,36,16.6,5.1,1.7,0.383
Gary Payton II,SG,62,15,4.8,1.5,0.326
Zach Collins,PF,64,15.3,4.7,1.7,0.302
Kris Dunn,PG,74,24.1,5.9,3,0.335
Ron Holland,SF,81,15.6,5.1,1.9,0.238
KJ Martin,PF,43,21.2,4.7,1.3,0.259
Gabe Vincent,PG,72,21.2,5.8,4.3,0.353
Sandro Mamukelashvili,PF,61,11.2,4.6,2.6,0.373
Jeremiah Robinson-Earl,PF,66,18.8,5.3,2.5,0.341
Kenrich Williams,PF,69,16.4,5.1,2.5,0.386
Bones Hyland,PG,24,10,4.9,3.4,0.39
Jonathan Mogbo,PF,63,20.4,5.7,1.1,0.243
Ryan Rollins,PG,56,14.6,4.8,2.1,0.408
Dru Smith,SG,14,19.1,4.4,2.1,0.533
Isaac Okoro,SG,55,19.1,4.9,2.7,0.371
Jarace Walker,PF,75,15.8,4.8,2.5,0.405
N'Faly Dante,C,4,12.8,3.3,0,0
Mouhamed Gueye,PF,33,16.2,5.2,2.5,0.259
Luke Kornet,C,73,18.6,3.8,0,0
Isaiah Mobley,PF,1,17,7,3,0.333
Isaiah Stewart,C,72,19.9,4.4,0.7,0.321
James Wiseman,C,1,5,4,1,0
Isaiah Wong,SG,20,13.3,5.3,1.7,0.394
Cole Swider,SF,10,16.9,6.3,4.7,0.319
Chuma Okeke,PF,9,21.8,4.4,3.1,0.393
Kyle Anderson,PF,61,16.4,5,1.1,0.357
Simone Fontecchio,SF,75,16.5,5,3,0.335
Collin Gillespie,PG,33,14,4.8,2.7,0.433
Tidjane Salaün,PF,60,20.7,5.8,3.4,0.283
Jaylin Williams,PF,47,16.7,4.7,3.3,0.399
Moses Brown,C,13,9.2,3.8,0,0
Adem Bona,C,58,15.6,3.3,0,0
Quenton Jackson,PG,28,13.6,4.4,1.4,0.375
Robert Williams,C,20,17.6,3.9,0.2,0.333
Moussa Diabaté,C,71,17.5,3.9,0.1,0
Landry Shamet,SG,50,15.2,4.6,3.1,0.397
Dariq Whitehead,SF,20,12.3,4.8,3.7,0.446
Jordan Goodwin,PG,29,18.7,5,2.3,0.382
Shake Milton,SG,57,14.7,4.5,1.9,0.358
Aaron Holiday,PG,62,12.8,4.3,2.9,0.398
Jeff Green,PF,32,12.4,3.8,2.5,0.367
Jonathan Isaac,PF,71,15.4,4.6,2.1,0.258
Dean Wade,PF,59,21.2,4.6,3.8,0.36
Keaton Wallace,PG,31,16.2,5.2,2.6,0.329
Kobe Bufkin,SG,10,12.4,4.7,1.9,0.211
Jamal Cain,SF,37,13.6,4.3,2.2,0.325
Pat Connaughton,SG,41,14.7,4.3,2,0.321
Kevin Love,PF,23,10.9,5,2.9,0.358
Ben Sheppard,SG,63,19.5,4.6,3.2,0.342
Monte Morris,PG,45,12.7,4.3,1.9,0.36
Jabari Walker,PF,60,12.5,3.8,1.2,0.389
Javonte Green,SG,68,18.5,4.2,2.1,0.326
Alex Reese,PF,15,14.4,3.6,2.7,0.366
Bismack Biyombo,C,28,18.9,4.1,0,0
Mitchell Robinson,C,17,17.1,3.3,0,0
Kai Jones,C,40,11.7,2.7,0.1,0.2
Ben Simmons,PG,51,22,4.4,0,0
Malaki Branham,SG,47,9.1,4,1.8,0.405
Neemias Queta,C,62,13.9,3.3,0,0
Alondes Williams,SG,1,4,2,1,1
Jaylen Martin,SF,16,14.9,4.6,1.4,0.304
Lindy Waters III,SG,52,15,4.8,3.6,0.344
Trevelin Queen,SG,31,13.9,4.7,2.5,0.286
Jock Landale,C,42,11.9,3.6,0.6,0.423
Colin Castleton,C,26,16.6,3.8,0.6,0.125
