Player,Pos,G,MP,FGA,3PA,3P%
,,,,,,
Shai Gilgeous-Alexander,PG,76,34.2,21.8,5.7,0.375
Giannis Antetokounmpo,PF,67,34.2,19.7,0.9,0.222
Nikola Jokić,C,70,36.7,19.5,4.7,0.417
Luka Dončić,PG,50,35.4,20.5,9.6,0.368
Anthony Edwards,SG,79,36.3,20.4,10.3,0.395
Jayson Tatum,PF,72,36.4,20.3,10.1,0.343
Kevin Durant,PF,62,36.5,18.1,6,0.43
Tyrese Maxey,PG,52,37.7,21,9.2,0.337
Cade Cunningham,PG,70,35,20.8,6,0.356
Jalen Brunson,PG,65,35.4,18.5,6.1,0.383
Paolo Banchero,PF,46,34.4,19.8,5.9,0.32
Devin Booker,SG,75,37.3,18.9,7.3,0.332
LaMelo Ball,PG,47,32,21.3,11.2,0.339
Damian Lillard,PG,58,36.1,17.1,9,0.376
Anthony Davis,C,51,33.5,17.8,2.4,0.282
Kyrie Irving,SG,50,36.1,18.9,7.2,0.401
Zion Williamson,PF,30,28.6,16.9,0.4,0.231
Stephen Curry,PG,70,32.2,18,11.2,0.397
LeBron James,SF,70,34.9,18.1,5.7,0.376
Karl-Anthony Towns,C,72,35,16.9,4.7,0.42
Victor Wembanyama,C,46,33.2,18.6,8.8,0.352
Franz Wagner,SF,60,33.7,19.4,5.9,0.295
Trae Young,PG,76,36,18.1,8.4,0.34
Donovan Mitchell,SG,71,31.4,18.6,8.9,0.368
Cam Thomas,SG,25,31.2,18.2,7.8,0.349
Tyler Herro,SG,77,35.4,17.9,8.7,0.375
Joel Embiid,C,19,30.2,16.6,4.1,0.299
De'Aaron Fox,PG,62,36.1,18.8,6.1,0.31
Zach LaVine,SG,74,35.2,16.5,7.2,0.446
Ja Morant,PG,50,30.4,17.8,5.7,0.309
James Harden,PG,79,35.3,16.4,8.5,0.352
Jaylen Brown,SF,63,34.3,17.7,5.7,0.324
DeMar DeRozan,SF,77,35.9,17,3.3,0.328
Brandon Ingram,SF,18,33.1,18.5,6.4,0.374
Jaren Jackson Jr.,C,74,29.8,16.4,5.3,0.375
Norman Powell,SG,60,32.6,15.8,7.1,0.418
Jalen Williams,SG,69,32.4,16.9,4.9,0.365
Kawhi Leonard,SF,37,31.9,16.8,5.1,0.411
Jamal Murray,PG,67,36.1,16.7,5.9,0.393
Trey Murphy III,SF,53,35,15.8,8.3,0.361
RJ Barrett,SF,58,32.2,16.9,5.3,0.35
CJ McCollum,PG,56,32.7,17.9,8.2,0.373
Jalen Green,SG,82,32.9,17.5,8.1,0.354
Brandon Miller,SF,27,34.2,18.2,10.9,0.355
Darius Garland,PG,75,30.7,15.7,7.1,0.401
Jordan Poole,SG,68,29.4,15.5,9.1,0.378
Coby White,SG,74,33.1,15.1,7.9,0.37
Miles Bridges,PF,64,31.7,17,7,0.313
Austin Reaves,SG,73,34.9,14.2,7.3,0.377
Pascal Siakam,PF,78,32.7,15.2,4.2,0.389
Kristaps Porziņģis,C,42,28.8,13.7,6,0.412
Scottie Barnes,PF,65,32.8,16.4,4.3,0.271
Anfernee Simons,SG,70,32.7,16.1,8.5,0.363
Desmond Bane,SG,69,32,14.8,6.1,0.392
Domantas Sabonis,C,70,34.7,12.8,2.2,0.417
Alperen Şengün,C,76,31.5,15,1.2,0.233
John Collins,PF,40,30.5,13.3,3.7,0.399
Lauri Markkanen,PF,47,31.4,14.9,8.5,0.346
Jalen Johnson,SF,36,35.7,15.1,3.9,0.312
Cameron Johnson,PF,57,31.6,13.1,7.2,0.39
Julius Randle,PF,69,32.3,13.6,4.6,0.344
Tyrese Haliburton,PG,73,33.6,13.8,7.7,0.388
Evan Mobley,PF,71,30.5,12.8,3.2,0.37
Shaedon Sharpe,SG,72,31.3,15.3,6.6,0.311
Nikola Vučević,C,73,31.2,14.2,4.4,0.402
Collin Sexton,SG,63,27.9,13.8,4.3,0.406
Michael Porter Jr.,SF,77,33.7,13.6,6.4,0.395
Bam Adebayo,C,78,34.3,14.3,2.8,0.357
Andrew Wiggins,SF,60,30.7,14,5.8,0.374
OG Anunoby,PF,74,36.6,13.9,6.2,0.372
Mikal Bridges,SF,82,37,14.4,5.6,0.354
Jaden Ivey,SG,30,29.9,13.8,5.1,0.409
Jimmy Butler,SF,55,31.7,10.9,1.9,0.308
Dejounte Murray,PG,31,32.6,15.9,5.6,0.299
Malik Monk,SG,65,31.6,14.4,6.6,0.325
Immanuel Quickley,PG,33,27.8,13.3,6.8,0.378
De'Andre Hunter,SF,64,27.2,11.9,6.1,0.405
Bradley Beal,SG,53,32.1,13.1,5,0.386
Deni Avdija,SF,72,30,11.7,4.8,0.365
Keyonte George,PG,67,31.5,13.7,7.6,0.343
Ivica Zubac,C,80,32.8,11.8,0,0
Derrick White,SG,76,33.9,12.6,9.1,0.384
Malik Beasley,SG,82,27.8,13.1,9.3,0.416
