Player,Pos,G,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
,,,,,,,,,,,
Joe Johnson,SG,82,0.211,2.7,10.5,6.6,18.6,1.4,0.6,12.5,21.6
Peja Stojaković,SF,81,0.4,3.2,14.1,8.8,9.1,1.7,0.3,8.9,23.9
Stephon Marbury,PG,81,0.198,2.1,7.2,4.6,40.1,2.1,0.2,13.6,25.8
Kevin Garnett,PF,82,0.027,9.1,30,20.1,24.4,2,4,10.5,29.6
Cuttino Mobley,SG,80,0.389,1.5,11.2,6.6,14.7,1.8,0.8,13.3,20.1
Shawn Marion,SF,79,0.198,7.5,18.7,13.1,11.7,2.7,2.4,9.7,22.7
Steve Francis,PG,79,0.224,4.5,11.1,8,28.3,2.4,0.8,18.3,24
Richard Jefferson,SF,82,0.118,4.1,13.3,8.7,18.7,1.6,0.7,13,22.8
LeBron James,SG,79,0.145,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2
Jim Jackson,SF,80,0.45,2.1,15.6,9.2,12.8,1.5,0.6,15.5,17.3
Damon Stoudamire,PG,82,0.419,2,9.7,5.9,27,1.8,0.2,14.3,19.2
Latrell Sprewell,SF,82,0.236,2.2,8.9,5.7,15.4,1.5,0.5,10.2,23.6
Paul Pierce,SG,80,0.257,2.6,16.4,9.6,25.1,2.2,1.3,14.6,30.5
Zach Randolph,PF,81,0.004,9.5,23.4,16.5,10.4,1.2,1,13.8,27.6
Ben Wallace,C,81,0.011,12.5,25.5,19.1,7.7,2.6,6.1,12.3,15.3
Michael Redd,SG,82,0.252,4.4,10.9,7.7,11.3,1.4,0.1,6.6,26.3
Jason Terry,PG,81,0.352,1.9,10.6,6.3,26.6,2.2,0.4,14.9,23.2
Lamar Odom,PF,80,0.182,6.1,24.2,15.1,20.6,1.5,1.9,15.1,24.5
Eddie Jones,SG,81,0.414,1.5,10.6,6,16.1,1.7,0.9,9,22.5
Carmelo Anthony,SF,82,0.146,6.8,12.1,9.4,13.8,1.7,1,12.7,28.5
Donyell Marshall,PF,82,0.319,8,23.1,15.5,7.9,1.7,3,9.6,19.5
Mike Bibby,PG,82,0.323,2.6,7.8,5.3,24.5,1.9,0.4,11.6,22.9
Eric Snow,PG,82,0.025,2.5,8.6,5.6,33,1.8,0.2,18,16.5
Stephen Jackson,SF,80,0.339,3.8,10.4,7.1,15.7,2.6,0.5,13.8,25
Jason Richardson,SG,78,0.213,4.7,15.4,10.1,14.5,1.6,1,11.9,25.8
Rashard Lewis,SF,80,0.314,5.4,15.4,10.4,10.7,1.8,1.4,9.1,23.4
Dirk Nowitzki,C,77,0.221,3.3,22.2,12.5,11.3,1.6,2.6,8.3,24.5
Andrei Kirilenko,PF,78,0.216,9.5,17.5,13.5,15.7,2.9,6.3,15.8,21.9
Juwan Howard,PF,81,0.001,6.6,16.1,11.2,10,1,0.6,11.7,23.9
Clifford Robinson,PF,82,0.332,2.1,10.6,6.4,16,1.3,1.8,14.5,19.3
Kerry Kittles,SG,82,0.288,2.3,11.2,6.8,12.9,2.4,1.1,8.5,18.4
Antoine Walker,PF,82,0.27,7.4,19.1,13.1,19.4,1.2,1.7,14.3,21.8
Andre Miller,PG,82,0.069,5,9.7,7.3,29.1,2.6,0.6,16.1,20.7
Sam Cassell,PG,81,0.146,1.9,8.7,5.5,38,1.9,0.5,13.5,27.2
Gary Payton,PG,82,0.161,2.8,11,6.9,26.9,1.8,0.5,11.7,20.4
Jamal Crawford,SG,80,0.395,1.7,9.5,5.5,27.5,2.1,0.8,11.9,25.7
Jermaine O'Neal,PF,78,0.013,8.1,25,16.5,12.3,1.2,5.5,10.1,30.2
Vince Carter,SG,73,0.167,3.9,10.6,7.2,28,1.7,1.7,12,32.5
Doug Christie,SG,82,0.206,2.9,10.4,6.7,18.6,2.8,1,16.9,14.9
Michael Finley,SG,72,0.319,3,9.9,6.4,11.7,1.6,1,6.3,20.9
Jamaal Magloire,C,82,0.001,10.7,24.4,17.4,5.5,0.8,2.8,16.5,20
Richard Hamilton,SG,78,0.058,3.3,8.3,5.8,22.2,2,0.5,13.8,25.7
Chauncey Billups,PG,78,0.336,1.5,10,5.8,29.3,1.7,0.2,13.6,23.5
P.J. Brown,PF,80,0.001,9.6,19.3,14.3,9.8,1.5,2,11.3,14.8
Metta World Peace,SF,73,0.218,4.3,12.5,8.4,19.2,3.1,1.4,13.4,26.2
Kirk Hinrich,PG,76,0.448,1.7,9,5.2,32.5,1.9,0.6,18.5,18.2
Tayshaun Prince,SF,82,0.217,4,12.5,8.4,12.4,1.3,1.9,13.2,15.6
Kenny Thomas,PF,74,0.006,11.5,21.1,16.4,7.7,1.7,1,15.3,19.6
Yao Ming,C,82,0.002,9.1,22.4,16.1,9.3,0.4,4.5,14.3,25.3
Baron Davis,PG,67,0.415,2.7,9.6,6.1,37.9,3.2,0.8,12.1,30.1
Shareef Abdur-Rahim,PF,85,0.032,8.2,19,13.6,12.3,1.4,1,12.9,24.4
Tracy McGrady,SG,67,0.328,3.9,13.3,8.5,28.3,1.8,1.1,9.1,33.2
Elton Brand,PF,69,0.001,11.4,19.1,15.2,16,1.3,4.2,13.7,23.4
Theo Ratliff,C,85,0,8.6,17.9,13.3,4.3,1.1,8.6,15.7,13.2
Corey Maggette,SF,73,0.228,4.1,14.6,9.3,15.8,1.3,0.4,13.9,25.2
Bruce Bowen,SF,82,0.422,1.9,8.8,5.4,6.7,1.7,0.9,14,11.3
Brad Miller,PF,72,0.052,8.5,23.3,16.1,18.5,1.3,2.3,14.1,17.6
Steve Nash,PG,78,0.304,2.4,7.4,4.8,38.3,1.3,0.2,17.9,19.5
Carlos Boozer,PF,75,0.007,9.8,26.8,18.3,10.3,1.5,1.5,11.6,20
Rafer Alston,PG,82,0.568,1.2,9.1,5.1,24.9,2.4,0.6,13.5,17.3
Tony Parker,PG,75,0.21,1.9,8.3,5.1,28.7,1.3,0.2,14.4,22.3
Antonio Davis,C,80,0,8.7,20.4,14.4,9,0.8,1.9,13,15.5
Kurt Thomas,PF,80,0.004,6.7,23.1,15,10.2,1.2,2.4,13,18.5
Zydrunas Ilgauskas,C,81,0.007,12.1,16.3,14.2,7.8,0.8,5.6,12.5,23.1
Desmond Mason,SF,82,0.045,4.2,11.9,8,10.2,1.2,0.7,12.1,21.8
Tim Duncan,PF,69,0.01,10.2,27.6,19,17.4,1.3,5.3,11.3,29.7
Chris Bosh,C,75,0.02,8.7,16.9,12.8,5.8,1.3,3.1,11.3,18.3
Nenê,PF,77,0.003,6.8,16,11.3,10.7,2.4,1.2,18.9,17
Jalen Rose,SF,66,0.212,1.5,10.7,6.1,25.5,1.1,0.6,16.5,24.1
Ricky Davis,SF,79,0.147,3.6,12.7,8.2,19.1,2,0.7,15,23
Shaquille O'Neal,C,67,0,11.1,24.4,17.7,14.8,0.7,5,13.5,26.3
Pau Gasol,PF,78,0.014,9.4,18.3,13.8,14.9,0.9,3.9,12.8,26.8
James Posey,SG,82,0.377,4.2,14.5,9.3,8.4,2.9,1.2,10.9,18.9
Jason Kidd,PG,67,0.306,4.1,16.5,10.3,44.8,2.7,0.4,16.7,24.6
Kobe Bryant,SG,65,0.184,4.7,12,8.3,24.4,2.4,0.8,10.8,29.1
DeShawn Stevenson,SF,80,0.082,3.8,10.9,7.3,11.9,1.2,0.6,11.1,20.4
Al Harrington,PF,79,0.085,7.8,16.9,12.3,10.3,1.8,0.7,13.8,22.9
Erick Dampier,C,74,0.003,16.1,25.5,20.8,4.3,0.7,4.1,14.1,17.8
Mark Blount,C,82,0,10.1,17.9,14,5.4,1.7,3.4,17.6,16.1
Rasheed Wallace,PF,68,0.255,5.1,17.4,11.3,12.1,1.4,3.8,10,23.4
Antawn Jamison,SF,82,0.044,10.4,13.5,11.9,4.7,1.8,0.9,7.2,20.7
Jeff McInnis,PG,70,0.17,1.6,6.9,4.3,30.7,1.7,0.2,12.9,18.2
Rasho Nesterović,C,82,0,12.4,17.6,15,8.4,1.2,5.1,12.5,16.8
Keith Van Horn,SF,72,0.258,7.4,17.1,12.3,9.2,1.5,1,14.1,23.6
Quentin Richardson,SG,65,0.319,7.1,13.2,10.1,11.2,1.5,0.6,10.9,24.6
Mike Dunleavy,SF,75,0.353,4.2,17.2,10.7,16.1,1.6,0.4,15.1,18.6
Tyronn Lue,PG,76,0.293,1.2,8,4.5,22.7,1.4,0.2,13.8,17.4
Vladimir Radmanović,PF,77,0.464,5.3,15.2,10.3,10.3,1.8,1.4,11.2,19.5
Vlade Divac,C,81,0.019,6.8,15.6,11.3,28.7,1.3,2.3,18.1,18.6
Brian Grant,C,76,0.002,8.7,17.9,13.3,5.3,1.2,1.2,11,15.2
Trenton Hassell,SG,81,0.034,3.6,9,6.5,8.5,0.9,1.7,10.1,9.5
Manu Ginóbili,SG,77,0.311,4.3,12.6,8.5,22.5,3.2,0.5,14.9,22.1
Reggie Miller,SG,80,0.562,0.9,9,4.9,19.1,1.6,0.4,9.3,15.4
