Player,Pos,G,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Joe Smith,PF,76,0.007,11.6,20.8,16.2,5.6,1.1,3,9.2,18
Kenyon Martin,PF,65,0.028,7,25.3,16.2,13.7,2.3,2.8,14,25
Darrell Armstrong,PG,79,0.583,3.1,8.5,5.7,24.3,3.2,0.5,16.2,19.4
Kwame Brown,PF,74,0.003,8.7,19.2,13.8,8.8,1.5,1.7,16,17.3
Voshon Lenard,SG,73,0.31,2.3,7.9,5.1,11.6,1.4,0.4,9.1,21.9
Jason Collins,C,78,0.005,7.6,13.6,10.6,10.8,1.6,1.9,17.3,11.9
Samuel Dalembert,C,82,0.002,10.5,22.9,16.8,1.7,1.1,6.8,13,14.1
Mike James,PG,81,0.428,1.5,10.6,6.1,26.1,2.3,0.1,14.8,17.4
Jiří Welsch,SG,81,0.296,3.2,12.2,7.8,14,2.4,0.2,15.5,17.4
Marcus Camby,C,72,0.004,10.9,27.4,19,9.6,2,6.1,13.9,14.3
Eddy Curry,PF,73,0.001,7.1,16.1,11.4,6.2,0.6,2.8,15.1,24.3
Greg Ostertag,C,78,0.002,12.6,20.9,16.7,9.8,0.8,5.5,15.9,13.4
Ray Allen,SG,56,0.372,3.8,11.8,7.8,23.3,1.8,0.4,12.1,27.8
Morris Peterson,SF,82,0.579,1.9,12.2,7,9.5,2.3,0.5,9.9,15.7
Drew Gooden,PF,79,0.051,8.3,19.3,13.7,7.5,1.5,2.4,11.8,22.7
Dwyane Wade,PG,61,0.066,4.6,9,6.8,25.1,2.2,1.3,17.3,25
Jason Williams,PG,72,0.511,1.3,6.6,3.9,38.3,2.3,0.2,15.2,19
Aaron McKie,SF,75,0.298,2.5,11.5,7.1,16.8,2.2,0.9,14.1,16.2
Anfernee Hardaway,SG,76,0.116,3.8,11.9,7.9,13.9,1.8,0.7,12.6,18.6
Tim Thomas,SF,66,0.239,3.5,13.9,8.8,10.4,1.6,0.7,11.3,22.4
Maurice Taylor,PF,75,0.003,7.8,13.6,10.9,10.1,1.1,1.7,15,22.7
Darius Miles,SF,79,0.053,6.2,13.6,9.9,14,1.8,2.1,13.4,21.5
Hedo Türkoğlu,SF,80,0.374,2.8,16.3,9.7,12.5,2.1,1.1,11.6,18.1
Calbert Cheaney,SF,79,0.017,4.2,10,7.1,11.2,1.6,0.4,12.2,15.5
Gilbert Arenas,PG,55,0.364,2.9,11.1,6.9,25.5,2.6,0.4,17.7,27.4
Larry Hughes,SG,61,0.23,5.1,12.9,8.9,14.3,2.4,0.9,11.6,28.1
Jarvis Hayes,SF,70,0.188,3.8,10.9,7.2,9.3,1.8,0.4,13,18.4
Gordan Giriček,SF,73,0.21,2.9,10.2,6.4,10.9,1.5,0.6,11.5,20.1
Allen Iverson,SG,48,0.177,2,8.2,5.1,34.4,3.1,0.2,13.6,35.3
Caron Butler,SF,68,0.067,5.2,13.6,9.4,10.8,2,0.5,11.4,18.5
Amar'e Stoudemire,PF,55,0.006,8.8,19.2,14,7,1.6,3.3,14.4,27.5
Ronald Murray,PG,82,0.25,2.6,9.2,5.9,18.5,2.1,1,12.8,26.7
Raja Bell,SG,82,0.206,3.6,11.3,7.4,10.2,1.7,0.5,10.8,23.6
Damon Jones,PG,82,0.521,0.8,8.7,4.8,36.7,0.8,0.1,15.6,14.8
Carlos Arroyo,PG,71,0.152,2.5,9,5.7,34.6,1.7,0.2,15.2,23.7
David Wesley,SG,61,0.356,1.6,6.2,3.8,16.1,1.9,0.5,10.2,22.4
Shandon Anderson,SG,80,0.227,3.1,9.7,6.5,10.2,1.8,0.7,15.7,17.7
Jeff Foster,C,82,0.011,14.8,22,18.4,5.5,2,1.1,12.3,11.8
Devean George,SF,82,0.326,5,14.4,9.6,8.9,2.2,1.4,12.5,16.1
Shane Battier,SF,79,0.343,5.9,11.8,8.8,8.4,2.7,2.2,8.3,15.5
Boris Diaw,SG,76,0.083,6.6,13.5,10.1,14.9,1.6,1.4,26.3,11.4
Jared Jeffries,PF,82,0.064,10.3,14.7,12.4,8.1,1.3,1.1,16.4,15.1
Etan Thomas,C,79,0,10.5,20.9,15.6,6.4,1,4.7,14.7,17.9
Walter McCarty,PF,77,0.7,1.7,12.5,7.2,10.6,2,0.9,14,15.6
Eric Williams,SF,71,0.212,3.9,13,8.5,10.4,1.9,0.3,10.9,19.3
Bonzi Wells,SG,72,0.081,4.8,11.2,7.9,13.6,2.6,0.7,14.8,26.5
Earl Boykins,SG,82,0.223,2.5,6.3,4.4,27.3,1.4,0.1,10.7,22.2
Chris Kaman,C,82,0.005,7.7,20.9,14.2,7.7,0.7,2.9,23.8,15.7
Casey Jacobsen,SF,78,0.5,2.6,10,6.3,8,1.4,0.4,14.3,11.8
Derek Anderson,SG,51,0.423,1.7,10.2,6,21.1,2,0.1,11.5,20.5
Fred Hoiberg,SG,79,0.449,1.4,14.8,8.5,9,2,0.4,9.2,12.5
Brent Barry,SG,59,0.59,1.4,11.9,6.7,30.5,2.5,0.7,22.6,15.8
Allan Houston,SG,50,0.259,1.3,6.4,3.9,10.3,1.1,0.1,10.6,24.7
Udonis Haslem,PF,75,0.007,12.1,18.7,15.4,4.9,1,1.1,12.3,15.8
Keith Bogans,SF,73,0.412,6.6,13.7,10.1,8.7,1.4,0.4,13.1,14.5
Mike Miller,SF,65,0.349,2.7,11.2,6.9,22.1,1.8,0.6,13.6,20
Derek Fisher,SG,82,0.311,1.9,7.9,4.9,16.3,3,0.2,10.9,18.3
Marko Jarić,PG,58,0.314,2.8,8.5,5.7,26.3,2.8,0.8,18.1,16
Kelvin Cato,PF,69,0,10.9,20.5,16,6.9,1.6,4.2,16.6,13.9
Jarron Collins,C,81,0.003,8.3,14.5,11.3,7.5,0.8,0.9,16.1,13.1
Alvin Williams,SG,56,0.179,1.2,8.8,5,23.6,1.8,0.4,12.8,17.1
George Lynch,SF,78,0.371,6.3,14.9,10.5,11.3,1.5,0.8,13.9,12.4
Dale Davis,C,76,0,11.3,16.8,14.1,6.6,1.4,2.8,10.9,10.3
Lorenzen Wright,C,65,0.009,9.6,20.5,15,7.2,1.4,2.5,10.7,19.4
Earl Watson,PG,81,0.228,3.3,8.8,6,37.5,2.9,0.8,21.8,18.1
Bob Sura,SG,80,0.163,6.9,15.3,11.2,24.1,2,0.6,15.2,19
Ruben Patterson,SF,73,0.03,9.4,9.9,9.6,13.9,2.8,1,18,16.7
Dion Glover,SG,69,0.202,4,14.2,9.2,14,1.6,0.9,13.4,21.2
Jerome Williams,PF,68,0.024,11.7,20.6,16.1,7.3,2.9,0.4,15.5,13.3
Brian Cardinal,PF,76,0.266,6.9,15,10.9,10.7,2.2,0.9,12.6,18.9
Raül López,PG,82,0.164,1.8,10.2,5.9,34.8,2.1,0.1,23.4,21.4
Nazr Mohammed,C,80,0,12.8,20.7,16.8,4,1.8,2.4,14.9,18.3
Bo Outlaw,PF,82,0.013,8.7,15.4,12,8.7,2.4,3.2,16,12.1
Jake Voskuhl,C,66,0,8.7,15.7,12.2,5.4,1.4,1.2,16.9,12.8
John Salmons,SG,77,0.353,2.8,11.5,7.2,14.5,2.1,0.8,14.4,15.6
Anthony Johnson,PG,73,0.297,2,7.6,4.8,21.4,2.2,0.4,14.2,15.6
Speedy Claxton,PG,60,0.042,2.7,8.4,5.5,28.7,3.3,0.4,14.1,20.9
Josh Howard,SF,67,0.124,9.9,15.4,12.6,8.8,2.2,2.5,10.2,18.2
Mehmet Okur,PF,71,0.089,11.9,18.8,15.4,8.2,1.2,3,13.7,21.7
Brian Skinner,C,56,0,8.6,21,14.8,5.3,1,2.8,12,18.7
Corliss Williamson,PF,79,0,6.6,12.2,9.4,7.2,1,1,14.1,23.8
Chucky Atkins,PG,64,0.498,0.7,6.2,3.5,24.7,1.5,0.1,14.9,18.5
Stromile Swift,PF,77,0.007,10.3,17.7,14,4.4,1.9,5.6,11.4,22.8
Toni Kukoč,PF,73,0.332,4.5,15.7,10.1,21.5,2,1,15.6,21
Antonio Daniels,PG,71,0.291,1.8,9.2,5.5,31.9,1.6,0.3,11.3,16.5
Fred Jones,SG,81,0.286,1.9,8,4.9,18.7,2.4,0.9,16.2,14.1
Lucious Harris,PG,69,0.218,3.1,7.9,5.5,15.2,1.5,0.1,9.6,17.2
Leandro Barbosa,PG,70,0.447,1.7,7.6,4.7,18,3.2,0.3,19.5,18.6
Dikembe Mutombo,C,65,0,11.4,22.2,16.9,2.7,0.6,6.2,13.5,12.5
Brendan Haywood,C,77,0.003,13.7,15.6,14.6,5.2,1.1,4.9,14,17
Juan Dixon,SG,71,0.311,2.2,9.2,5.6,17.5,2.9,0.2,13,24
Tony Battie,C,73,0.023,9,18.1,13.6,6.4,0.9,3.3,13,14.8
T.J. Ford,PG,55,0.053,2.9,10.8,6.8,37.4,2.1,0.1,24,17.9
Howard Eisley,PG,67,0.361,1.6,8.5,5.1,30.1,2,0.3,16.7,18.5
Stanislav Medvedenko,PF,68,0.006,11.5,15.5,13.5,6.6,1.4,0.9,9.1,20.1
Vitaly Potapenko,C,65,0,8.4,15.5,12,6.2,0.8,1.5,14.6,17.2
Stacey Augmon,SF,69,0.02,4.1,10.1,7,10,2.1,0.8,15.7,15.6
Kendall Gill,SG,56,0.069,4.6,10.3,7.4,11.4,2.4,0.8,12,21.9
Rodney Rogers,PF,69,0.301,8.4,17.3,12.9,17.2,2.2,1.5,15.2,21.5
Kevin Ollie,PG,82,0.035,1.8,11.6,6.7,25,1.9,0.4,19.5,13.3
Steve Blake,PG,75,0.496,1.4,8.2,4.7,25.8,2.1,0.4,22.7,17.9
Anthony Peeler,SG,75,0.405,2.6,9.7,6.2,12.8,2.1,0.5,17,14.7
Marcus Banks,PG,81,0.195,2.5,8.4,5.5,21.3,3.3,0.7,20,20.5
Jamaal Tinsley,PG,52,0.559,2.4,9.4,5.8,37.7,3.3,0.9,21.6,17.5
Bobby Simmons,SF,56,0.032,9.4,12.3,10.8,11.5,2,0.9,14,16.8
Karl Malone,PF,42,0.003,5,25.6,15.1,19.1,1.9,1.1,17.1,19.7
Chris Wilcox,C,65,0.002,10.5,15.4,13,7,1.1,1.1,13.7,19.3
Aaron Williams,C,72,0.009,8.9,17,13,10.4,1.4,2.7,17.8,17.5
Glenn Robinson,SF,42,0.163,4.1,12.5,8.3,9.1,1.7,0.5,13.6,27.4
Chris Mihm,C,76,0,13.5,21.6,17.6,2.7,1.4,3.6,16.5,18.5
Vin Baker,PF,54,0.007,10,14.4,12.2,9,1.1,1.9,13.3,20.1
Robert Horry,PF,81,0.31,9.5,14,11.8,12.8,2,2.8,12.2,16.1
Reggie Evans,PF,75,0.018,14.5,23,18.8,3.7,2.3,0.6,22,10.7
Jacque Vaughn,PG,71,0.072,1.1,9.2,5.2,24.5,1.8,0.1,21.5,14
Dan Gadzuric,C,75,0.003,11.4,19.8,15.6,3.7,2.1,6.1,10.1,16
Malik Rose,PF,67,0.007,9.9,18.5,14.2,9.4,1.5,1.4,18.2,22.6
Nick Van Exel,PG,39,0.313,1.4,7.9,4.7,28.5,0.9,0.1,13,22.1
Charlie Ward,PG,71,0.528,1.1,11.9,6.6,29,2.7,0.7,19.3,18.4
Mark Madsen,C,72,0.029,13,12,12.5,3.3,1.4,1,15.5,11.5
Ira Newble,SF,64,0.069,5.8,8,6.9,8.9,1.1,1.1,15.4,12.6
Kareem Rush,SG,72,0.319,1.8,7.1,4.4,7.8,1.4,1.2,9.5,18.2
Michael Curry,SF,70,0.077,2,6.1,4.1,7.2,1,0.3,17.8,10.6
Andrew DeClercq,C,71,0,12,17.8,14.8,5.5,2.1,1.9,19.8,10.2
Milt Palacio,PG,59,0.087,1.4,8.3,4.8,26.3,1.9,0.7,21,16.6
Chris Crawford,PF,56,0.24,5.5,10.9,8.2,7,1.6,1.2,9.5,21.8
Calvin Booth,C,71,0.007,8.5,18.8,13.7,3.7,0.8,6.3,12,14.4
Rod Strickland,PG,61,0.102,3.2,11.7,7.4,34.5,1.6,0.7,17.7,18.5
Eddie House,SG,60,0.303,2.7,10.6,6.6,21.6,2.9,0.2,11.8,19.8
Bobby Jackson,SG,50,0.37,5.4,11.1,8.3,15.8,2.1,0.5,9,26.8
Sasha Pavlović,SF,79,0.186,4.7,12.7,8.6,9.5,2,1.2,14,19.5
Keyon Dooling,PG,58,0.131,1.7,6.3,4,19.4,2.1,0.4,14.2,17.9
Matt Harpring,SF,31,0.08,9.8,17.3,13.5,10.9,1.1,0.1,11.9,22.3
Luke Ridnour,PG,69,0.229,3.7,7.7,5.7,23.9,2.5,0.5,17.2,19.3
Horace Grant,PF,55,0.004,8,16,11.9,9.4,1.1,1.4,10.5,11.2
Jon Barry,SG,57,0.465,2.5,10.2,6.3,20.6,2.7,0.5,13.9,15.2
Austin Croshere,PF,77,0.469,6.7,20.8,13.7,8.5,1.3,1,13.5,18.3
Corie Blount,PF,62,0.012,10.1,19.1,14.5,9,2.5,1.7,14,13.3
Marquis Daniels,SG,56,0.088,6.7,8.6,7.6,17.4,2.6,0.9,9,20.6
Wesley Person,SG,58,0.439,1.8,11.3,6.6,10.5,1,0.6,10.3,16.5
Brevin Knight,PG,56,0.033,1.5,10.8,6.1,31.7,4.2,0.1,20.8,14.9
Doug Overton,PG,61,0.094,1.7,7.8,4.7,21.7,1.3,0.1,18.3,13.6
Chris Andersen,PF,71,0.005,9.6,23.3,16.3,5.1,1.7,7.8,16.1,12.7
Michael Doleac,C,72,0,9.9,19.6,14.8,7.2,1.2,2.6,12.2,17.4
Gary Trent,C,68,0.018,9.8,14.1,12,7.8,0.6,1.2,12.8,19.4
Eddie Robinson,SF,51,0.015,2.8,8.4,5.5,10.3,1.7,0.7,11.5,17
Jerome James,C,65,0,9.4,18,13.7,5.3,1.1,4.6,21.3,18
Rodney White,SF,72,0.186,5,14.1,9.5,11.3,1.7,1.4,13.2,26.4
Christian Laettner,PF,48,0.082,5.5,21.3,13.2,15.7,2,2.1,13.1,14.4
Darius Songaila,PF,73,0,10.8,15.2,13.1,7.6,2.2,0.9,12.1,16.4
Kedrick Brown,SF,55,0.39,4.8,12.1,8.5,10.8,1.6,0.5,9.8,13.7
Ervin Johnson,C,66,0.01,7.6,19.2,13.7,3.5,1.5,3.2,20.6,7.1
Predrag Drobnjak,C,61,0.095,6.4,17.2,11.8,7.4,1.2,1.8,10.3,21.7
Bryon Russell,SF,72,0.459,3.8,13.9,8.7,11.4,1.8,0.9,12,14.7
Robert Traylor,C,71,0.017,12.5,19.4,15.9,8.4,2.2,3,15.3,19.6
David West,PF,71,0.009,14,22.6,18.2,11.1,1.6,2.3,15.4,15.3
Steve Smith,SG,71,0.365,3.2,6.8,5,10.6,0.9,0.5,11.3,18.3
Brian Scalabrine,PF,69,0.188,5.4,16.6,11,11.3,1.2,1.2,14.4,14.7
Antonio McDyess,PF,42,0,8.7,23,15.9,6.5,2.1,1.9,16,17.6
Michael Olowokandi,C,43,0,10.2,19.6,15.1,4.1,0.9,5.3,14.8,18.6
Kenny Anderson,PG,44,0.016,2.5,8.2,5.3,24.2,1.6,0.4,15.3,17.1
Ronald Dupree,SF,47,0.032,6.5,14.1,10.2,10.6,1.9,1.5,13.4,19
Elden Campbell,C,65,0,6.8,20.1,13.6,9.3,1.3,4.3,14.6,22.6
Kyle Korver,SF,74,0.633,4,10.7,7.4,8.3,1.5,0.7,10.8,20.2
Francisco Elson,C,62,0.005,8.3,18.1,13.1,5.6,2.1,3.1,13.8,12.7
Othella Harrington,PF,56,0,7.8,15.5,11.7,5.5,0.7,1.2,21.6,16
Clarence Weatherspoon,PF,52,0.005,10.5,16.9,13.8,5.9,1.9,1.3,12.6,15.2
Jahidi White,C,62,0,12.7,21.7,17.2,1.3,1.5,4.4,21.2,16.3
Moochie Norris,PG,66,0.267,1.4,7.3,4.5,23.4,2.8,0.4,20.5,17.3
Rick Fox,SF,38,0.328,3.8,9.9,6.8,17.1,1.8,0.3,19.4,13.1
Derrick Coleman,C,34,0.139,6.3,20.3,13.4,9.9,1.5,2.4,16.5,19.2
Chris Webber,PF,23,0.012,6.7,20.3,13.6,22,1.9,1.7,11.3,28.9
Tom Gugliotta,PF,55,0.02,9.5,18.2,13.8,12.4,2,1.2,15.3,14.2
Steven Hunter,C,59,0,7.6,17,12.2,2.4,0.3,6.7,13.5,12.3
Tony Massenburg,PF,59,0.005,8.4,18.4,13.5,5.6,0.9,1.6,15.4,16.7
Donnell Harvey,PF,60,0.015,6.9,17,11.9,4.3,1.6,2.5,15.9,16.3
Tyson Chandler,PF,35,0.006,11.1,27,18.9,4.7,1.1,4.1,15.3,14.2
Lee Nailon,PF,57,0.009,9.2,11.3,10.3,9.2,1,0.8,11.3,23
Jerry Stackhouse,SF,26,0.202,2.3,11.6,6.8,25.1,1.6,0.3,19.4,26
Shawn Bradley,C,66,0.005,9.9,14.6,12.2,3.6,2.2,7.1,7.5,12.8
Mo Williams,SG,57,0.129,3.6,8,5.8,18.5,2,0.2,13.5,22.8
Willie Green,SG,53,0.171,2.5,7.5,5,14.1,1.8,0.5,13.1,27.7
Lonny Baxter,PF,62,0.014,9.4,18.5,13.9,4.8,1.2,2.8,13.6,17.2
Shammond Williams,PG,53,0.431,1.3,7.8,4.5,25.3,2.6,0.2,15.4,18.1
Travis Best,PG,61,0.116,2.4,7.5,4.9,19.5,2.1,0.4,14.7,12.9
Mickaël Piétrus,PG,53,0.455,7.2,10.7,9,6.1,2.3,1.2,13.2,18.7
Marcus Fizer,SF,46,0.049,8.8,21.5,15,11.1,1.1,0.8,11.2,27.5
Linton Johnson,SF,41,0.163,8.5,19,13.6,6.1,2.6,3.2,14.4,15.6
Michael Ruffin,PF,41,0,13,22.2,17.5,8.9,1.7,2.4,23.9,11.2
Luke Walton,PF,72,0.255,6,13.8,9.8,23,2,0.8,20.3,13.3
DeSagana Diop,C,56,0,10.9,19.2,15.1,7.1,1.9,5,15.7,11.3
Jamal Mashburn,SF,19,0.168,2.9,15.7,9.1,13.3,1,0.5,7.9,29.4
Matt Barnes,SF,38,0.094,8.3,15.5,11.9,10.6,2,0.3,21.1,12.8
Eduardo Nájera,SF,58,0.025,9.9,13.8,11.8,4.7,2.5,2,13.7,12.8
Frank Williams,PG,56,0.288,1.3,7.2,4.3,27.7,1.9,0.6,21.6,19
Daniel Santiago,C,54,0,5.6,15.6,10.6,5.3,1.4,2.2,13.6,15
Dajuan Wagner,SG,44,0.281,1.4,7.7,4.5,12.5,1.9,0.7,11.2,23.3
Greg Buckner,SG,53,0.251,4.7,12.4,8.6,11,1.6,0.4,15.4,14.8
Eric Piatkowski,SF,49,0.639,1.8,10.1,6.1,6.3,1.2,0.5,12.8,15.4
Scot Pollard,C,61,0,11.6,17.1,14.3,2.4,1.9,2.9,15.1,10.1
